N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.851896,1.837715,1.139213,1.810191,1.391273,1.297567,2.088796,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.882566,1.813244,1.139814,1.782694,1.447203,1.291262,2.090854,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.862290,1.832639,1.115809,1.792792,1.381338,1.298536,2.092465,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.806741,1.899845,1.103732,1.841439,1.328142,1.302599,2.104956,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.802702,1.863064,1.253675,1.863195,1.308216,1.292879,1.970892,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.768435,1.799256,1.247328,1.791037,1.239743,1.288127,1.968118,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.766732,1.805225,1.254728,1.801178,1.190785,1.283115,2.035438,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.769345,1.791543,1.286307,1.785546,1.230855,1.272856,2.093896,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.777261,1.797218,1.223077,1.772444,1.332334,1.270862,2.058656,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.776593,1.789402,1.103167,1.776481,1.282150,1.308416,2.099381,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.874314,1.770411,1.170878,1.841229,1.375386,1.282100,1.959556,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.771380,1.800669,1.095461,1.781395,1.337844,1.290458,2.037806,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.768612,1.797951,1.094750,1.768274,1.334954,1.249106,2.060324,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.773669,1.776209,1.139842,1.747586,1.188241,1.320157,2.131038,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.763212,1.786063,1.218891,1.764726,1.203716,1.261878,2.079798,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.735612,1.798238,1.128454,1.743348,1.206831,1.259530,1.976675,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.768669,1.854865,1.155285,1.708764,1.368669,1.254767,1.947405,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.842378,1.842182,1.152685,1.730736,1.411750,1.274165,2.015887,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.857636,1.804269,1.170626,1.753483,1.396540,1.285418,2.089130,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.861586,1.810267,1.171564,1.786436,1.448984,1.294974,2.097537,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.864692,1.833190,1.193208,1.788087,1.418897,1.290277,2.085004,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.874333,1.805853,1.188536,1.807629,1.439375,1.298655,2.100339,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.861919,1.813078,1.162207,1.825365,1.452915,1.310864,2.116902,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.855740,1.804787,1.171582,1.806120,1.448854,1.308641,2.122380,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.864776,1.803192,1.170005,1.807151,1.454619,1.308485,2.127173,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.844909,1.807967,1.166910,1.843850,1.439533,1.314487,2.128653,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.829620,1.825549,1.144071,1.851899,1.407901,1.304173,2.006508,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.726441,1.772771,1.248941,1.828897,1.359502,1.297772,1.990967,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.755485,1.774415,1.241140,1.812695,1.314862,1.295698,2.005521,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.885011,1.879182,1.131559,1.889356,1.264398,1.347394,2.163656,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.869489,1.813897,1.207555,1.853702,1.375418,1.284406,2.095160,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.813428,1.820156,1.114998,1.792980,1.235861,1.322862,2.126712,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.785246,1.898209,1.144755,1.805096,1.312150,1.325943,2.124912,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.945398,1.780339,1.147460,1.797852,1.380085,1.330562,2.163141,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.860919,1.910404,1.147117,1.899621,1.290802,1.312113,2.039785,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.797970,1.848727,1.136714,1.786127,1.297485,1.340990,2.161749,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,2.000802,2.052911,1.094106,1.820799,1.230766,1.262568,1.952173,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.772168,1.777215,1.108044,1.787308,1.234596,1.261441,1.960587,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.789054,1.774360,1.188019,1.775604,1.304787,1.254762,1.948379,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.779852,1.773049,1.258252,1.897485,1.242644,1.277908,2.092817,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.813125,1.893538,1.182008,1.893302,1.253715,1.373128,2.160133,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.785324,1.802457,1.275384,1.823718,1.289324,1.275992,2.078187,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.815056,1.823075,1.198465,1.829845,1.184799,1.284084,1.982537,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.808793,1.898653,1.130373,1.822098,1.207860,1.307484,2.005644,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.753384,1.864400,1.300627,1.987649,1.392898,1.360936,2.092553,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.869984,2.004957,1.289568,2.033073,1.267818,1.238464,1.927924,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.796986,1.937536,1.098210,1.764461,1.243587,1.273197,2.076350,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.925209,1.826765,1.148769,1.816349,1.230482,1.346835,2.185687,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.908284,1.821952,1.173367,1.978308,1.312311,1.305747,2.107820,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.895591,1.915005,1.235185,1.770002,1.277553,1.390577,2.081719,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.918149,1.910163,1.194344,1.859153,1.299783,1.291077,1.984528,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.983696,1.935674,1.175220,1.923237,1.300151,1.375425,2.189804,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.959907,1.857628,1.187978,1.867071,1.273024,1.279658,2.097540,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.817381,1.896743,1.160550,1.871092,1.292071,1.293681,2.093950,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.879473,1.840549,1.126626,1.861774,1.229200,1.287910,2.095021,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.780746,1.937989,1.080775,1.822241,1.266825,1.257957,2.068829,128
